apertura,branch_id,brand,city,country,db_cost_center,db_match,display_name,estado,is_deleted,is_presale,key,m2,name,nueva,partner_id,partner_name,pendiente,punto_equilibrio,region_name,source,updated_at
2026-08-01,113,RESETT,"BOGOTÁ, D.C.",CO,"{'id': 92, 'is_active': True, 'name': 'Resett Easy Norte'}",id,Resett EasyNorte,activa,0,0,CO:113,200.0,ResettEasyNorte,False,113,AX,False,0.0,RESETT,admin,2026-09-04T15:49:25Z
2025-07-12,112,RESETT,ENVIGADO,CO,"{'id': 93, 'is_active': True, 'name': 'Resett Escobero'}",id,Resett Escobero,activa,0,0,CO:112,200.0,ResettEscobero,False,112,AX,False,0.0,RESETT,admin,2026-08-27T15:42:43Z
2025-07-04,110,RESETT,MEDELLÍN,CO,"{'id': 94, 'is_active': True, 'name': 'Resett La 33'}",id,Resett La 33,activa,0,0,CO:110,200.0,ResettLa33,False,110,AX,False,0.0,RESETT,admin,2026-08-27T15:42:43Z
2025-07-04,111,RESETT,MEDELLÍN,CO,"{'id': 96, 'is_active': True, 'name': 'Resett San Lucas'}",id,Resett San Lucas,activa,0,0,CO:111,200.0,ResettSanLucas,False,111,AX,False,0.0,RESETT,admin,2026-08-27T15:42:43Z
2022-09-23,3,ACTION_EXPERIENCE,SABANETA,CO,"{'id': 66, 'is_active': True, 'name': 'Action Sabaneta'}",id,Sabaneta,activa,1,0,CO:3,1265.3,Sabaneta,False,4,EVO,False,2035.0,ANTIOQUIA SUR,admin,2026-08-27T16:10:34Z
2024-11-22,47,ACTION_EXPERIENCE,MEDELLÍN,CO,"{'id': 67, 'is_active': True, 'name': 'Action San Bernardo'}",id,San Bernardo,activa,0,0,CO:47,1171.0,SanBernardo,False,34,EVO,False,1289.0,ANTIOQUIA NORTE,master_sedes,2026-08-27T03:26:55Z
2023-12-14,12,ACTION_EXPERIENCE,MEDELLÍN,CO,"{'id': 68, 'is_active': True, 'name': 'Action San Lucas'}",id,San Lucas,activa,0,0,CO:12,580.11,SanLucas,False,15,EVO,False,841.0,ANTIOQUIA SUR,master_sedes,2026-08-27T03:26:55Z
2023-10-20,11,ACTION_EXPERIENCE,"BOGOTÁ, D.C.",CO,"{'id': 69, 'is_active': True, 'name': 'Action Santafe Bogota'}",id,Santafé Bogotá,activa,0,0,CO:11,548.4,Santafe,False,13,EVO,False,1103.0,BOGOTÁ,master_sedes,2026-08-27T03:26:55Z
2026-04-10,109,ACTION_SPORT_CLUB,MEDELLÍN,CO,"{'id': 72, 'is_active': True, 'name': 'Action Sport Club Ciudad Del Rio'}",id,Sport Club CIudad del Rio,activa,0,0,CO:109,1217.0,SportClubCIudaddelRio,False,76,EVO,False,0.0,ACTION SPORT CLUB,master_sedes,2026-08-27T03:26:55Z
2025-07-12,121,ACTION_SPORT_CLUB,ENVIGADO,CO,"{'id': 74, 'is_active': True, 'name': 'Action Sport Club Escobero'}",id,Sport Club Escobero,activa,0,0,CO:121,2000.0,SportClubEscobero,False,121,AX,False,0.0,ACTION SPORT CLUB,admin,2026-08-27T15:42:43Z
